hbpermin,Pseg,PQseg,QRSseg,QRseg,QTseg,RSseg,STseg,Tseg,PTseg,ECGseg,QRtoQSdur,RStoQSdur,RRmean,PPmean,PQdis,PonQdis,PRdis,PonRdis,PSdis,PonSdis,PTdis,PonTdis,PToffdis,QRdis,QSdis,QTdis,QToffdis,RSdis,RTdis,RToffdis,STdis,SToffdis,PonToffdis,PonPQang,PQRang,QRSang,RSTang,STToffang,RRTot,NNTot,SDRR,IBIM,IBISD,SDSD,RMSSD,QRSarea,QRSperi,PQslope,QRslope,RSslope,STslope,NN50,pNN50,ECG_signal
47.28358209,0.065651709,0.083760684,0.061485043,0.030715812,0.165438034,0.030769231,0.103952991,0.092254274,0.249198718,0.330021368,0.002012727,0.001990266,384.952381,385.0,24.22421516,34.72291706,29.12646305,39.62751352,34.22247702,44.72242274,73.47740534,84.00013552,87.90621649,4.913495713,10.00010463,49.29266933,63.718312,5.102791241,44.38699994,58.8140065,39.29449771,53.71856776,98.42860021,5.587915703,-7.674113687,12.90826983,-8.506900816,2.877932971,22,51,185.198086,298.0,132.5926091,295.1646151,427.1845815,4.871798038,20.01639158,-0.054314286,0.1084182995,-0.116240702,0.022397595,10,19.60784314,ARR
63.0,0.071802469,0.068444444,0.040888889,0.020740741,0.139555556,0.020148148,0.098666667,0.089283951,0.208,0.278617284,0.002012727,0.001990266,233.5121951,233.5121951,13.70728391,23.62804802,13.70728391,23.62804802,13.70728391,23.62804802,38.61337144,48.61007778,43.1041601,0.0,0.0,25.02436668,29.50088662,0.0,25.02436668,29.50088662,25.02436668,29.50088662,53.09759023,10.79744433,-7.674113687,12.90826983,-8.506900816,5.3906014,42,80,6.270807126,191.5625,30.55667025,1.967072698,233.596379,0.0,0.0,-0.119270012,0.1084182995,-0.116240702,0.043899408,0,0.0,CHF
88.5,0.053046729,0.094579439,0.07364486,0.037420561,0.155327103,0.036224299,0.081682243,0.085570093,0.249906542,0.318317757,0.002012727,0.001990266,168.8275862,168.7068966,24.04348854,30.81488144,34.40614892,41.18037118,44.28410614,51.05642476,61.29329767,68.06904645,67.68993032,10.42925491,20.24256902,37.26259825,43.65733126,9.975682221,26.90561788,33.30301417,17.03355375,23.42212274,74.46553869,7.58327079,-7.674113687,12.90826983,-8.506900816,3.926476521,59,106,25.920394,144.0,26.67618878,39.8920828,170.8057982,13.18505528,40.64750616,-0.027974714,0.1084182995,-0.116240702,0.044335923,16,15.09433962,AFF
98.21428571,0.062761905,0.053238095,0.002428571,0.001285714,0.101857143,0.001142857,0.099428571,0.086761905,0.155095238,0.206761905,0.002012727,0.001990266,152.1230769,152.1230769,13.42344442,21.82091647,13.82350281,22.22104898,14.19271539,22.59019373,38.92697817,47.38462085,40.94250345,0.401288251,0.769278231,25.60249856,27.61616149,0.371461432,25.20261155,27.2163207,24.83363827,26.84706257,49.40000999,10.07342874,-7.674113687,12.90826983,-8.506900816,2.877932971,66,83,8.794242334,146.4578313,9.313765634,15.32715338,152.3770627,0.456060971,1.542027915,-0.113122555,0.1084182995,-0.116240702,0.03837691,2,2.409638554,CHF
85.248,0.061785442,0.086699695,0.083126905,0.041873095,0.149485518,0.041253811,0.066358613,0.07421875,0.236185213,0.302258003,0.003941441,0.003871059,90.24545455,90.24545455,11.81662436,14.9989649,17.43181099,20.62554198,22.95505786,26.13925889,29.4185264,32.61022974,34.24594779,5.770162836,11.140485,17.63456645,22.44984174,5.750592478,12.01288502,16.84982429,6.568905478,11.33374699,37.43640081,7.58327079,-16.23697282,29.58390022,-25.72604753,13.29872047,111,163,5.226134263,82.63190184,7.609550957,3.913142486,90.39665118,8.138398574,22.66124032,-0.053002624,0.234715683,-0.294198138,0.164633111,1,0.613496933,NSR
91.42857143,0.062642912,0.099561738,0.085556402,0.043064024,0.150533537,0.042492378,0.064977134,0.053782393,0.250095274,0.309975229,0.003932884,0.003879616,84.2605042,84.26890756,13.556041,17.43676808,19.49088363,23.38516294,25.35382797,29.23988909,32.73152262,36.62185338,36.62243771,6.100145972,11.80674394,19.20084895,23.08943659,6.023302158,13.27979422,17.16639551,7.40635335,11.28824993,40.51262704,5.478176012,-16.07707937,26.25630491,-17.50083853,5.108002814,120,163,3.831453604,79.58895706,5.178244701,2.338184585,84.34757024,8.109595485,23.93019207,-0.051902871,0.232855653,-0.23371632,0.076099317,1,0.613496933,NSR
77.76,0.04858156,0.067434988,0.036938534,0.019326241,0.144799054,0.017612293,0.10786052,0.114598109,0.212234043,0.284456265,0.002012727,0.001990266,278.6285714,278.6285714,26.43836486,33.75107117,35.78041946,43.09408258,44.29482974,51.60794272,81.91449863,89.22876556,99.85737532,9.351913949,17.85726061,55.48852969,73.43043823,8.526164329,46.14596187,64.08837021,37.63304238,55.57390011,107.1715743,7.58327079,-7.674113687,12.90826983,-8.506900816,2.877932971,36,46,142.5721042,267.0,126.1543147,218.0621896,312.9867181,8.47765577,35.73533889,-0.028104536,0.1084182995,-0.116240702,0.015490085,14,30.43478261,ARR
90.0,0.069432099,0.059111111,0.01891358,0.009481481,0.11762963,0.009432099,0.098716049,0.138567901,0.176740741,0.291753086,0.002012727,0.001990266,166.7118644,166.7118644,13.07008264,23.92665582,13.08697736,23.94359974,13.08697736,23.94359974,38.03696315,48.93222599,58.15397903,0.016949153,0.016949153,25.02662497,45.14354626,0.0,25.00968045,45.12659887,25.00968045,45.12659887,69.05091344,7.385529387,-7.674113687,12.90826983,-8.506900816,2.877932971,60,80,48.99015842,159.85,42.75039825,18.91501898,173.7609892,0.0,0.033898305,-0.089149924,0.1084182995,-0.116240702,0.027383842,0,0.0,CHF
112.5,0.066238095,0.051952381,9.52e-05,9.52e-05,0.100095238,0.0,0.1,0.087285714,0.152047619,0.208761905,0.002012727,0.001990266,133.0810811,133.0810811,13.06324101,22.8436224,13.09009836,22.87062999,13.09009836,22.87062999,38.00419291,47.85136207,40.55871239,0.027027028,0.027027028,25.04577864,27.59639176,0.0,25.01876724,27.5693764,25.01876724,27.5693764,50.40541008,10.19138542,-7.674113687,12.90826983,-8.506900816,3.340979399,75,83,1.522415903,131.7710843,1.907956007,1.205012363,133.0897888,0.0,0.054054056,-0.118065321,0.1084182995,-0.116240702,0.038718095,0,0.0,CHF
58.32,0.066935484,0.050179211,0.0,0.0,0.100806452,0.0,0.100806452,0.09265233,0.150985663,0.211917563,0.002012727,0.001990266,361.3846154,361.3846154,18.05378799,33.2039195,18.05378799,33.2039195,18.05378799,33.2039195,54.34858066,69.53846208,62.04075689,0.0,0.0,36.35679635,44.04754981,0.0,36.35679635,44.04754981,36.35679635,44.04754981,77.23077003,6.354254128,-7.674113687,12.90826983,-8.506900816,2.877932971,27,30,7.766183713,352.8333333,10.93773741,7.975562676,361.4680537,0.0,0.0,-0.077115963,0.1084182995,-0.116240702,0.02412767,0,0.0,ARR
66.96428571,0.05491358,0.054567901,0.002666667,0.001333333,0.110962963,0.001333333,0.108296296,0.10237037,0.165530864,0.224740741,0.002012727,0.001990266,224.0,224.0,14.16941575,20.35637625,14.78263111,20.96994903,15.39640889,21.58358124,42.93289648,49.13668757,51.20593063,0.614217885,1.227287724,28.80337849,37.07353693,0.614003037,28.18973425,36.45993245,27.57609578,35.84625168,57.40943668,7.58327079,-7.674113687,12.90826983,-8.506900816,2.877932971,45,80,87.85758104,180.9875,73.0040147,111.6804285,240.613704,0.323651754,2.455508647,-0.067717115,0.1084182995,-0.116240702,0.023164144,22,27.5,AFF
81.0,0.058238095,0.056285714,0.005809524,0.002952381,0.111285714,0.002857143,0.10547619,0.104809524,0.167571429,0.239238095,0.002012727,0.001990266,184.6415094,184.6415094,13.54542728,20.95802281,14.05492245,21.46754372,14.5078157,21.92040081,39.53045078,47.00049957,47.47638268,0.510255473,0.962396979,26.07597823,34.00812904,0.455058236,25.56655008,33.49886075,25.11420272,33.04603822,54.94342449,7.58327079,-7.674113687,12.90826983,-8.506900816,4.153346386,54,83,43.94898172,164.8915663,38.73666288,64.49366684,189.7998946,0.477360744,1.927710688,-0.104144301,0.1084182995,-0.116240702,0.039481867,19,22.89156627,AFF
82.88316832,0.068065768,0.083537582,0.068984886,0.034773284,0.169526144,0.034211601,0.100541258,0.103247549,0.253063725,0.320976307,0.003925798,0.003886702,92.47222222,92.47222222,12.1206056,16.12935618,18.00440146,22.02516408,23.83258098,27.84709906,36.82414963,40.84264473,42.57437017,6.047568354,11.72228754,24.72954806,30.47660033,5.985141152,18.84917605,24.59834326,13.01226746,18.75613994,46.59259937,5.140278867,-16.34210748,26.10334476,-15.43065079,3.366359639,109,152,6.405232718,86.71052632,7.28611478,3.840086724,92.69379099,7.939315667,23.75499705,-0.055615825,0.233860128,-0.229920991,0.043419571,2,1.315789474,NSR
91.392,0.06216654,0.102038872,0.089415015,0.045207698,0.153582317,0.044207317,0.064167302,0.05383003,0.255621189,0.313262195,0.003945044,0.003867456,84.12711864,84.12711864,13.47363846,17.25303236,19.38347171,23.17469183,25.18619696,28.9702155,31.8224234,35.61017413,34.27172304,6.055799541,11.72035299,18.3712367,20.8187952,5.946032143,12.47484279,14.92177038,6.662598736,9.10488761,38.05934216,5.169137152,-15.16023524,24.88207523,-16.86440173,5.235253674,119,163,3.026847692,79.80981595,4.500005021,2.062823656,84.18155319,7.552861602,23.72218467,-0.048777679,0.219314183,-0.222044202,0.076078598,1,0.613496933,NSR
111.36,0.048113567,0.069645579,0.035584985,0.017911585,0.128286966,0.017673399,0.092701982,0.116520579,0.197932546,0.273199314,0.002012727,0.001990266,68.65972222,68.65972222,8.584115733,10.57868491,10.4292477,12.42778348,12.22941968,14.22565201,23.94133262,25.97290945,31.80796083,1.884666539,3.647697679,15.43926651,23.30105902,1.861502967,13.59140734,21.45941066,11.81504389,19.66191065,33.84045246,7.58327079,-7.674113687,12.90826983,-8.506900816,2.877932971,145,163,14.21665846,67.36809816,13.45879871,21.11804518,70.11612392,2.334359758,7.393867186,-0.127086624,0.1084182995,-0.116240702,0.083927556,26,15.95092025,NSR
60.17910448,0.06566358,0.049614198,0.007098765,0.003472222,0.104166667,0.003626543,0.097067901,0.086728395,0.153780864,0.211959877,0.002012727,0.001990266,362.7037037,362.7037037,18.05509574,33.53029912,18.05509574,33.53029912,18.05509574,33.53029912,54.33582859,69.85185256,58.92835385,0.0,0.0,36.34423328,40.93562298,0.0,36.34423328,40.93562298,36.34423328,40.93562298,74.4444455,6.402812628,-7.674113687,12.90826983,-8.506900816,2.877932971,28,35,9.525073402,349.5428571,14.47740882,7.263836012,362.8287526,0.0,0.0,-0.078081066,0.1084182995,-0.116240702,0.024445675,0,0.0,ARR
73.07462687,0.062470449,0.102541371,0.080732861,0.040130024,0.187529551,0.040602837,0.10679669,0.116312057,0.290070922,0.394799054,0.001383778,0.001394,290.9393939,291.0,38.09431719,49.57739843,53.97256159,65.45787943,69.94104094,81.42510332,107.9090995,119.3939586,137.9697469,15.91435492,31.84851602,69.81976042,99.87956254,16.00306108,53.94267196,84.00270921,37.97225755,68.03128329,149.454546,1.271075374,-4.509906897,7.393511341,-4.287019821,0.802289285,34,46,7.950374087,275.4782609,14.88803977,8.097971872,291.0480019,16.42103583,63.76593203,-0.013123307,0.065695948,-0.063544708,0.011372329,0,0.0,ARR
90.26865672,0.059656085,0.05,0.0,0.0,0.10271164,0.0,0.10271164,0.095568783,0.15271164,0.203439153,0.002012727,0.001990266,241.0731707,241.0731707,18.05471387,29.62238722,18.05471387,29.62238722,18.05471387,29.62238722,54.95353339,66.56098945,61.70992399,0.0,0.0,36.96223375,43.71537535,0.0,36.96223375,43.71537535,36.96223375,43.71537535,73.31707892,7.10460271,-7.674113687,12.90826983,-8.506900816,1.923713258,42,41,4.506852473,241.0731707,4.562840365,5.828325231,241.1152948,0.0,0.0,-0.077681308,0.1084182995,-0.116240702,0.024320909,0,0.0,ARR
59.52380952,0.062018692,0.10153271,0.079476636,0.03917757,0.171401869,0.040299065,0.091925234,0.095476636,0.272934579,0.358018692,0.001946319,0.002053681,251.8717949,251.8974359,25.5768773,34.0295273,37.31132336,45.77644619,49.72315388,58.18104646,74.20544511,82.66670508,91.10311063,11.81817521,24.15400843,48.64462597,65.54032199,12.47190103,36.90473463,53.80136331,24.49237133,41.38661632,99.56410555,3.796437376,-8.198607235,12.05421081,-6.827500832,1.516663497,40,106,5.54783158,173.9150943,47.63082217,7.9120862,251.9328869,15.3899014,48.44408467,-0.031479252,0.112111095,-0.09909982,0.02040393,0,0.0,AFF
